date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:42	146928/146928	---MCZ	200	added ('OK')	text/html	etag:W/%228bbba1d0afd5c9faff225179528184fd%22	https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920	C:/My%20Web%20Sites/future%202/themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920.html	(from )
16:19:43	376/376	---MCZ	200	added ('OK')	text/plain	etag:W/%2266fa2356-3c3%22	https://themeforest.net/robots.txt		(from )
16:19:43	112105/112105	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a46f129c776d13e1ba57b77793bf9ad%22	https://public-assets.envato-static.com/assets/market/core/datadog-ed3b819cb569c2f9d020a8c1f03ca5b137adda30d389900e42069ac9a072f529.js	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/market/core/datadog-ed3b819cb569c2f9d020a8c1f03ca5b137adda30d389900e42069ac9a072f529.js	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:43	89897/89897	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f5068069815b879fd43de5f11a1afb3f%22	https://public-assets.envato-static.com/mp/packs/js/rollbar-f8064a3e8141637f14c6.js	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/mp/packs/js/rollbar-f8064a3e8141637f14c6.js	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:44	73165/73165	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Sep%202024%2008:14:27%20GMT	https://market-resized.envatousercontent.com/themeforest.net/files/459785724/Zed%20-%20Coverimage%20template%20kit.jpg?auto=format&q=94&cf_fit=crop&gravity=top&h=8000&w=590&s=772d772d349bc3a6014fbe47b25d1cc79b8c3f1094a4fa9877a1d6580c1752d1	C:/My%20Web%20Sites/future%202/market-resized.envatousercontent.com/themeforest.net/files/459785724/Zed%20-%20Coverimage%20template%20kit634f.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:44	56337/56337	---M--	200	added ('OK')	image/png	etag:%22616011db88935edc6a2fef5c746a08c5%22	https://public-assets.envato-static.com/assets/generated_sprites/logos-20f56d7ae7a08da2c6698db678490c591ce302aedb1fcd05d3ad1e1484d3caf9.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/generated_sprites/logos-20f56d7ae7a08da2c6698db678490c591ce302aedb1fcd05d3ad1e1484d3caf9.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:44	9797/9797	---M--	200	added ('OK')	image/png	etag:%2264089c65cdcb56ecdfdcccb445fb844c%22	https://public-assets.envato-static.com/assets/generated_sprites/common-5af54247f3a645893af51456ee4c483f6530608e9c15ca4a8ac5a6e994d9a340.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/generated_sprites/common-5af54247f3a645893af51456ee4c483f6530608e9c15ca4a8ac5a6e994d9a340.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:44	670/670	---M--	200	added ('OK')	image/png	etag:%229d4ca27364485c05a3558279dede3795%22	https://public-assets.envato-static.com/assets/icons/favicons/favicon-1147a1221bfa55e7ee6678c2566ccd7580fa564fe2172489284a1c0b1d8d595d.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/icons/favicons/favicon-1147a1221bfa55e7ee6678c2566ccd7580fa564fe2172489284a1c0b1d8d595d.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:45	889/889	---M--	200	added ('OK')	image/png	etag:%22e2885fdb0d1cff5751cc46155c16a82c%22	https://public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-72x72-precomposed-ea6fb08063069270d41814bdcea6a36fee5fffaba8ec1f0be6ccf3ebbb63dddb.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-72x72-precomposed-ea6fb08063069270d41814bdcea6a36fee5fffaba8ec1f0be6ccf3ebbb63dddb.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:45	1267/1267	---M--	200	added ('OK')	image/png	etag:%2251645f0442bd2e2ec99f78703bcd6036%22	https://public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-114x114-precomposed-bab982e452fbea0c6821ffac2547e01e4b78e1df209253520c7c4e293849c4d3.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-114x114-precomposed-bab982e452fbea0c6821ffac2547e01e4b78e1df209253520c7c4e293849c4d3.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:45	1298/1298	---M--	200	added ('OK')	image/png	etag:%222d29096842f69e288ae26798dce4177c%22	https://public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-120x120-precomposed-8275dc5d1417e913b7bd8ad048dccd1719510f0ca4434f139d675172c1095386.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-120x120-precomposed-8275dc5d1417e913b7bd8ad048dccd1719510f0ca4434f139d675172c1095386.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:45	1494/1494	---M--	200	added ('OK')	image/png	etag:%22f337c644475495ee749303eedc6b5841%22	https://public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-144x144-precomposed-c581101b4f39d1ba1c4a5e45edb6b3418847c5c387b376930c6a9922071c8148.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-144x144-precomposed-c581101b4f39d1ba1c4a5e45edb6b3418847c5c387b376930c6a9922071c8148.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:46	1494/1494	---M--	200	added ('OK')	image/png	etag:%22f337c644475495ee749303eedc6b5841%22	https://public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-precomposed-c581101b4f39d1ba1c4a5e45edb6b3418847c5c387b376930c6a9922071c8148.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/icons/favicons/apple-touch-icon-precomposed-c581101b4f39d1ba1c4a5e45edb6b3418847c5c387b376930c6a9922071c8148.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:46	196692/196692	---MCZ	200	added ('OK')	text/css	etag:W/%22c35d1b99ecf3807c93a0ffe875140138%22	https://public-assets.envato-static.com/assets/market/core/index-dd9847f84fb155bc40f7567e229024b41421fea59832d7b3387b43b4edfcd38a.css	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/market/core/index-dd9847f84fb155bc40f7567e229024b41421fea59832d7b3387b43b4edfcd38a.css	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:46	230550/230550	---MCZ	200	added ('OK')	text/css	etag:W/%22899ef3ec5af7629124934e890acc8f3c%22	https://public-assets.envato-static.com/assets/market/pages/default/index-43c9e199b223db5c5bba332e76ddb21b8a94a6038c1f49a8e7d1d258d5b02293.css	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/market/pages/default/index-43c9e199b223db5c5bba332e76ddb21b8a94a6038c1f49a8e7d1d258d5b02293.css	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:46	13128/13128	---MCZ	200	added ('OK')	text/css	etag:W/%22ae4bf849ae3fd62b8df060a792301c5c%22	https://public-assets.envato-static.com/mp/packs/css/components/brand_neue_tokens-ea3a7176.css	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/mp/packs/css/components/brand_neue_tokens-ea3a7176.css	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2030%20Sep%202024%2009:19:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/future%202/www.googletagmanager.com/gtm.f5445.delayed	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:47	9885/9885	---M--	200	added ('OK')	application/javascript	etag:%221abdb8deaf456108b1c2cf00b99fc2ac%22	https://public-assets.envato-static.com/assets/market/core/head-27cdb5ede34aef07336dc99fceecaf31a2d50c9615e8116fc60965812916e464.js	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/market/core/head-27cdb5ede34aef07336dc99fceecaf31a2d50c9615e8116fc60965812916e464.js	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:47	15719/15719	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b6e94eb9babd1d19c237c0ebcebb97b3%22	https://public-assets.envato-static.com/mp/packs/js/gtm_measurements-cf2d09d3237caabe5ebd.js	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/mp/packs/js/gtm_measurements-cf2d09d3237caabe5ebd.js	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:48	68/68	---M--	200	added ('OK')	image/png	etag:%22978c1bee49d7ad5fc1a4d81099b13e18%22	https://public-assets.envato-static.com/assets/common/transparent-1px-1f61547480c17dc67dd9a6c38545a5911cc4a8024f6f3c0992e7c1c81fb37578.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/common/transparent-1px-1f61547480c17dc67dd9a6c38545a5911cc4a8024f6f3c0992e7c1c81fb37578.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:48	82265/82265	---M--	200	added ('OK')	image/png	etag:%22ab7eb12df8943450fd391e0ef16b868e%22	https://public-assets.envato-static.com/assets/header/items-collage-1x-a39e4a5834e75c32a634cc7311720baa491687b1aaa4b709ebd1acf0f8427b53.png	C:/My%20Web%20Sites/future%202/public-assets.envato-static.com/assets/header/items-collage-1x-a39e4a5834e75c32a634cc7311720baa491687b1aaa4b709ebd1acf0f8427b53.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:49	119169/119169	---MCZ	200	added ('OK')	text/html	etag:W/%2272f9b061d562580217096e5dd2027145%22	https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920/comments	C:/My%20Web%20Sites/future%202/themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920/comments.html	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:50	4581/4581	---M--	200	added ('OK')	image/png	etag:%2239170515cad80b5a35cb676376a1fe54%22	https://s3.envato.com/files/459785721/Zed%20-%20thumbnail%20Template%20Kit.png	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785721/Zed%20-%20thumbnail%20Template%20Kit.png	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:51	186/186	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Sep%202024%2009:19:39%20GMT	https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/full_screen_preview/47135920	C:/My%20Web%20Sites/future%202/themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/full_screen_preview/47135920	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:52	15198/15198	---M--	200	added ('OK')	image/jpeg	etag:%22241458d9855d4de45d418b74e003d442%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/404-page.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/404-page.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:54	155850/155850	---M--	200	added ('OK')	image/jpeg	etag:%22ca09589a16bd7c629cb0631faa709e20%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/about-me.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/about-me.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:54	13181/13181	---M--	200	added ('OK')	image/jpeg	etag:%22f51f9a4bd45f0231e30fd612f2425cb0%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/contact-us-form.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/contact-us-form.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:56	70345/70345	---M--	200	added ('OK')	image/jpeg	etag:%22549122e5aa5f660c030a489484d5d260%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/contact-us.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/contact-us.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:56	4063/4063	---M--	200	added ('OK')	image/jpeg	etag:%221f96bc3a1976dcd9c98f5c2cb1ce7ee2%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/footer.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/footer.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:19:58	3755/3755	---M--	200	added ('OK')	image/jpeg	etag:%22a662e311a8c50fa2c5154662215054b0%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/header.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/header.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:00	367291/367291	---M--	200	added ('OK')	image/jpeg	etag:%22aa12c7bf8d6ebddea29456ed09e58636%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/homepage.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/homepage.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:01	93530/93530	---M--	200	added ('OK')	image/jpeg	etag:%22e7fe278d029ff84798956d06b5c30ff9%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/my-services.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/my-services.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:02	71966/71966	---M--	200	added ('OK')	image/jpeg	etag:%22a1f2b981863cba9ed4bcb22939b4b181%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/our-blog.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/our-blog.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:03	61616/61616	---M--	200	added ('OK')	image/jpeg	etag:%22f2110a61fe1600423d4381d5e86a9eb8%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/pricing-plan.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/pricing-plan.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:04	103532/103532	---M--	200	added ('OK')	image/jpeg	etag:%22fc7aed39d510952a5119b2d88799ba60%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/single-blog.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/single-blog.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:06	85721/85721	---M--	200	added ('OK')	image/jpeg	etag:%228d0a4280fcde5b0260896e8dba00bf63%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/single-services.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/single-services.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:07	123201/123201	---M--	200	added ('OK')	image/jpeg	etag:%2256c68ee1f105c280520667dd814fc5a0%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/single-works.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/single-works.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:08	65507/65507	---M--	200	added ('OK')	image/jpeg	etag:%22a590133e39cc427d3f96549a9a6910f6%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/testimonial.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/testimonial.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:09	171124/171124	---M--	200	added ('OK')	image/jpeg	etag:%22762c45875e86dfb78cc44d245fa5564d%22	https://s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/work-list.jpg	C:/My%20Web%20Sites/future%202/s3.envato.com/files/459785727/Zed%20-%20Preview%20Image%20Set/work-list.jpg	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:10	186/186	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Sep%202024%2009:19:58%20GMT	https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/full_screen_preview/47135920	C:/My%20Web%20Sites/future%202/themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/full_screen_preview/47135920.26.delayed	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
16:20:11	20073/20073	---MCZ	200	added ('OK')	text/html	etag:W/%2224421f3be9cffe6ad20214cef659e9e8%22	https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/screenshots/47135920	C:/My%20Web%20Sites/future%202/themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/screenshots/47135920.html	(from https://themeforest.net/item/zed-programmer-resume-portfolio-elementor-template-kit/47135920)
